parkType,countryCode,countryName,name,latitude,longitude
national_park,AU,"Australia","Bromley (Kungkaychi) National Park Aboriginal",-12.518,142.943
national_park,AU,"Australia","Brook Islands",-18.141388888,146.282222222
botanical_garden,AU,"Australia","Brookvale Park",-27.4420062,151.6259638
botanical_garden,AU,"Australia","Brunswick Valley Heritage Park",-28.5482676,153.498812
national_park,AU,"Australia","Budawang",-35.498333333,150.0011111
national_park,AU,"Australia","Budderoo",-34.648333333,150.7011111
national_park,AU,"Australia","Budj Bim",-38.078888888,141.888611111
national_park,AU,"Australia","Bugong",-34.825,150.44306
national_park,AU,"Australia","Bulburin",-24.6490873,151.5079648
national_park,AU,"Australia","Bulga",-38.420969444,146.57625
national_park,AU,"Australia","Bullala CCA Zone 1",-29.3702,150.3563
national_park,AU,"Australia","Bullawa Creek CCA Zone 3 State Conservation Area",-30.34,149.893
national_park,AU,"Australia","Bulleringa",-17.5803,143.829
botanical_garden,AU,"Australia","Bundaberg",-24.8541085,152.3371065
national_park,AU,"Australia","Bundjalung",-29.331666666,153.3344444
national_park,AU,"Australia","Bungawalbin",-29.098055555,153.143888888
national_park,AU,"Australia","Bungonia",-34.79722222,150.01638889
botanical_garden,AU,"Australia","Buninyong",-37.65,143.884
national_park,AU,"Australia","Bunuba",-17.9347,125.8718
national_park,AU,"Australia","Bunurong Marine",-38.691,145.656
national_park,AU,"Australia","Bunya Mountains",-26.799444444,151.536944444
national_park,AU,"Australia","Bunya Mountains National Park (Recovery)",-26.82667,151.58221
national_park,AU,"Australia","Burleigh Head",-28.095277777,153.457222222
botanical_garden,AU,"Australia","Burnley Gardens",-37.82925,145.022166666
national_park,AU,"Australia","Burral Yurrul CCA Zone 1",-29.0866,150.8253
botanical_garden,AU,"Australia","Burrendong and Arboretum",-32.698611111,149.101111111
national_park,AU,"Australia","Burrendong Dam",-32.6985,149.117911111
botanical_garden,AU,"Australia","Burringbar",-28.4486119,153.4440215
national_park,AU,"Australia","Burringurrah",-24.629,116.813
national_park,AU,"Australia","Burrowa - Pine Mountain",-36.09,147.758
national_park,AU,"Australia","Burrum Coast",-24.999166666,152.4675
national_park,AU,"Australia","Bushy Island",-20.952319444,150.073288888
national_park,AU,"Australia","Butterleaf",-29.518888888,152.011944444
national_park,AU,"Australia","Byfield",-22.783888888,150.731666666
botanical_garden,AU,"Australia","Cairns",-16.8994,145.74837
national_park,AU,"Australia","Calectasia",-37.357588888,140.550580555
